"species","replication","time","nhard","nsoft"
"T. glomeratum",1,0,98,2
"T. glomeratum",2,0,99,1
"T. glomeratum",3,0,99,1
"T. glomeratum",4,0,99,1
"T. spumosum",1,0,94,6
"T. spumosum",2,0,93,7
"T. spumosum",3,0,95,5
"T. spumosum",4,0,96,4
"T. hirtum",1,0,88,12
"T. hirtum",2,0,89,11
"T. hirtum",3,0,86,14
"T. hirtum",4,0,92,8
"T. nigrescens",1,0,99,1
"T. nigrescens",2,0,98,2
"T. nigrescens",3,0,100,0
"T. nigrescens",4,0,100,0
"T. tomentosum",1,0,93,7
"T. tomentosum",2,0,96,4
"T. tomentosum",3,0,95,5
"T. tomentosum",4,0,95,5
"T. sub sub",1,0,83,17
"T. sub sub",2,0,88,12
"T. sub sub",3,0,87,13
"T. sub sub",4,0,87,13
"T. scutatum",1,0,90,10
"T. scutatum",2,0,90,10
"T. scutatum",3,0,84,16
"T. scutatum",4,0,78,22
"T. pilulare",1,0,77,23
"T. pilulare",2,0,83,17
"T. pilulare",3,0,100,0
"T. pilulare",4,0,100,0
"T. glomeratum",1,28,99,1
"T. glomeratum",2,28,99,1
"T. spumosum",1,28,97,3
"T. spumosum",2,28,92,8
"T. hirtum",1,28,88,12
"T. hirtum",2,28,87,13
"T. nigrescens",1,28,100,0
"T. nigrescens",2,28,100,0
"T. tomentosum",1,28,98,2
"T. tomentosum",2,28,88,12
"T. sub sub",1,28,76,24
"T. sub sub",2,28,80,20
"T. scutatum",1,28,85,15
"T. scutatum",2,28,85,15
"T. pilulare",1,28,87,13
"T. pilulare",2,28,80,20
"T. glomeratum",1,42,99,1
"T. glomeratum",2,42,100,0
"T. spumosum",1,42,96,4
"T. spumosum",2,42,97,3
"T. hirtum",1,42,89,11
"T. hirtum",2,42,88,12
"T. nigrescens",1,42,99,1
"T. nigrescens",2,42,93,7
"T. tomentosum",1,42,96,4
"T. tomentosum",2,42,99,1
"T. sub sub",1,42,78,22
"T. sub sub",2,42,72,28
"T. scutatum",1,42,85,15
"T. scutatum",2,42,84,16
"T. pilulare",1,42,80,20
"T. pilulare",2,42,83,17
"T. glomeratum",1,56,96,4
"T. glomeratum",2,56,98,2
"T. spumosum",1,56,95,5
"T. spumosum",2,56,89,11
"T. hirtum",1,56,91,9
"T. hirtum",2,56,94,6
"T. nigrescens",1,56,95,5
"T. nigrescens",2,56,94,6
"T. tomentosum",1,56,95,5
"T. tomentosum",2,56,99,1
"T. sub sub",1,56,65,35
"T. sub sub",2,56,80,20
"T. scutatum",1,56,83,17
"T. scutatum",2,56,85,15
"T. pilulare",1,56,67,33
"T. pilulare",2,56,70,30
"T. glomeratum",1,63,92,8
"T. glomeratum",2,63,91,9
"T. spumosum",1,63,95,5
"T. spumosum",2,63,98,2
"T. hirtum",1,63,78,22
"T. hirtum",2,63,84,16
"T. nigrescens",1,63,90,10
"T. nigrescens",2,63,89,11
"T. tomentosum",1,63,99,1
"T. tomentosum",2,63,95,5
"T. sub sub",1,63,47,53
"T. sub sub",2,63,49,51
"T. scutatum",1,63,81,19
"T. scutatum",2,63,78,22
"T. pilulare",1,63,,
"T. pilulare",2,63,,
"T. glomeratum",1,70,86,14
"T. glomeratum",2,70,91,9
"T. spumosum",1,70,95,5
"T. spumosum",2,70,93,7
"T. hirtum",1,70,84,16
"T. hirtum",2,70,77,23
"T. nigrescens",1,70,81,19
"T. nigrescens",2,70,79,21
"T. tomentosum",1,70,98,2
"T. tomentosum",2,70,96,4
"T. sub sub",1,70,46,54
"T. sub sub",2,70,53,47
"T. scutatum",1,70,66,34
"T. scutatum",2,70,71,29
"T. pilulare",1,70,61,39
"T. pilulare",2,70,67,33
"T. glomeratum",1,84,78,22
"T. glomeratum",2,84,80,20
"T. spumosum",1,84,95,5
"T. spumosum",2,84,89,11
